pair distance,Sample
1.3,control
0.447213595499958,control
1.1,control
1.8,control
1.81107702762748,control
2.20907220343745,control
1.61245154965971,control
1.0816653826392,control
1.71172427686237,control
1.1,control
0.894427190999916,control
0.854400374531753,control
0.781024967590666,control
1.80277563773199,control
1.25299640861417,control
1.6,control
1.0770329614269,control
2.1095023109729,control
1.31529464379659,control
0.806225774829855,control
1.25299640861417,control
1.552417469626,control
1,control
0.447213595499958,control
1.78885438199983,control
1.6,control
1.4142135623731,control
0.640312423743285,control
1.21655250605964,control
0.921954445729289,control
1.80277563773199,control
0.943398113205661,control
0.806225774829855,control
0.8,control
1.36014705087354,control
0.632455532033676,control
0.9,control
1.17046999107196,control
0.921954445729289,control
1.04403065089106,control
1.6,control
1,control
1.80277563773199,control
0.9,control
1.81107702762748,control
1.6,control
1.36014705087354,control
1.48660687473185,control
0.98488578017961,control
1.9,control
1.22065556157337,control
1.61554944214035,control
0.6,control
1.26491106406735,control
0.824621125123532,control
1.17046999107196,control
1.31529464379659,control
2.00997512422418,control
0.98488578017961,control
0.7,control
0.721110255092798,control
0.728010988928052,control
1.51327459504216,control
1.62788205960997,control
0.565685424949238,control
1.4142135623731,control
0.5,control
2.03960780543711,control
0.894427190999916,control
1.17046999107196,control
0.894427190999916,control
0.921954445729289,control
1.31529464379659,control
0.894427190999916,control
1.2,control
1.31529464379659,control
0.728010988928052,control
1,control
1.4560219778561,control
1.0770329614269,control
1.4142135623731,control
1.84390889145858,control
1.51327459504216,control
1.99248588451713,control
0.728010988928052,control
0.848528137423857,control
1.61245154965971,control
1.8,control
0.894427190999916,control
1,control
0.921954445729289,control
0.565685424949238,control
1.9,control
0.53851648071345,control
0.848528137423857,control
1.3,control
1.99248588451713,control
1.16619037896906,control
1.31529464379659,control
0.806225774829855,control
1.25299640861417,A
0.6,A
0.781024967590666,A
0.360555127546399,A
2.1095023109729,A
0.3,A
1,A
0.781024967590666,A
0.5,A
0.8,A
0.728010988928052,A
1.13137084989848,A
1.7,A
0.360555127546399,A
0.9,A
0.565685424949238,A
0.53851648071345,A
0.360555127546399,A
1.17046999107196,A
0.53851648071345,A
0.632455532033676,A
0.921954445729289,A
0.848528137423857,A
1,A
1.4,A
1.25299640861417,A
1.17046999107196,A
0.5,A
1.0770329614269,A
1.1180339887499,A
0.2,A
0.98488578017961,A
0.4,A
0.728010988928052,A
1.26491106406735,A
0.3,A
0.4,A
0.4,A
0.5,A
0.728010988928052,A
